City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,East London,ZA,2022-12-21 04:13:57,-33.0153,27.9116,63.46,74,100,4.29
68,Maniitsoq,GL,2022-12-21 04:13:57,65.4167,-52.9,17.49,58,36,5.66
69,Jamestown,US,2022-12-21 04:13:58,42.097,-79.2353,26.71,97,75,4.61
70,Bethel,US,2022-12-21 04:13:58,41.3712,-73.414,28.94,74,0,3.0
71,New Norfolk,AU,2022-12-21 04:13:59,-42.7826,147.0587,69.89,37,91,1.99
72,Mount Gambier,AU,2022-12-21 04:13:59,-37.8333,140.7667,79.27,31,100,13.29
73,Lebu,CL,2022-12-21 04:13:59,-37.6167,-73.65,56.61,95,11,6.71
74,Hasaki,JP,2022-12-21 04:14:00,35.7333,140.8333,50.4,60,100,5.99
75,Nizwa,OM,2022-12-21 04:14:00,22.9333,57.5333,64.99,65,0,1.81
76,Norman Wells,CA,2022-12-21 04:14:01,65.282,-126.8329,-41.76,66,40,2.3
77,Longyearbyen,SJ,2022-12-21 04:10:09,78.2186,15.6401,10.24,72,40,10.36
78,Katsuura,JP,2022-12-21 04:14:01,35.1333,140.3,54.18,63,90,12.75
79,Yellowknife,CA,2022-12-21 04:10:57,62.456,-114.3525,-23.55,100,100,6.15
80,Luderitz,NA,2022-12-21 04:14:02,-26.6481,15.1594,63.07,80,0,7.25
81,Sembakung,ID,2022-12-21 04:14:03,3.8167,117.25,86.31,67,100,2.77
82,Vardo,NO,2022-12-21 04:14:03,70.3705,31.1107,26.58,74,20,13.8
83,Arraial Do Cabo,BR,2022-12-21 04:09:26,-22.9661,-42.0278,71.33,90,100,16.53
84,Katangli,RU,2022-12-21 04:14:04,51.7102,143.2326,4.26,78,100,16.64
85,Acari,PE,2022-12-21 04:14:04,-15.4311,-74.6158,72.64,84,43,2.39
86,Ushuaia,AR,2022-12-21 04:14:04,-54.8,-68.3,53.26,47,0,17.27
87,Tarko-Sale,RU,2022-12-21 04:15:05,64.9225,77.785,-8.72,94,100,13.38
88,Nikolskoye,RU,2022-12-21 04:15:06,59.7035,30.7861,22.91,96,100,8.39
89,Faanui,PF,2022-12-21 04:15:08,-16.4833,-151.75,81.12,76,63,18.21
90,Pangnirtung,CA,2022-12-21 04:15:09,66.1451,-65.7125,4.21,80,32,3.94
